source,status,gtf_sku,brand_sku,product_name,has_curated_primary,has_curated_secondary,run_image_candidates,resolver_status,resolver_reason,action
ar_export,manual_fix,GTF-TOD-001072023510SM,00-1072-023-510-S/M-,BALI bandeau top,False,False,0,blocked,no_image_candidates_for_product,exclude_from_taste_lab_until_AR_or_media_fix
ar_export,sent_to_review,GTF-TOD-001051001510ONESIZEPETITE,00-1051-001-510-One Size-Petite,NARINA cardigan,True,True,11,needs_review,high_confidence_but_first_run_requires_human_approval,exclude_from_taste_lab_until_AR_or_media_fix
ar_export,sent_to_review,GTF-TOD-021010093270XSS,02-1010-093-270-xs-s-,ZELMA dress,False,False,11,needs_review,high_confidence_but_first_run_requires_human_approval,exclude_from_taste_lab_until_AR_or_media_fix
ar_export,sent_to_review,GTF-TOD-021051040040ONESIZE1PETITE,02-1051-040-040-one-size-1-petite,VALERA cardigan,True,True,15,needs_review,high_confidence_but_first_run_requires_human_approval,exclude_from_taste_lab_until_AR_or_media_fix
ar_export,sent_to_review,GTF-TOD-001200037690XSSPETITE,00-1200-037-690-XS/S-Petite,BALI skirt,True,True,9,needs_review,high_confidence_but_first_run_requires_human_approval,exclude_from_taste_lab_until_AR_or_media_fix
ar_export,sent_to_review,GTF-TOD-001200037510XSSPETITE,00-1200-037-510-XS/S-Petite,BALI skirt,False,False,9,needs_review,high_confidence_but_first_run_requires_human_approval,exclude_from_taste_lab_until_AR_or_media_fix
ar_export,sent_to_review,GTF-TOD-001010077510XSSPETITE,00-1010-077-510-XS/S-Petite,NARINA dress,True,True,8,needs_review,high_confidence_but_first_run_requires_human_approval,exclude_from_taste_lab_until_AR_or_media_fix
ar_export,sent_to_review,GTF-TOD-001210003420XSSSTANDART,00-1210-003-420-XS/S-Standart,BALI pants,False,True,5,needs_review,high_confidence_but_first_run_requires_human_approval,exclude_from_taste_lab_until_AR_or_media_fix
ar_export,sent_to_review,GTF-TOD-011200043650SMPETITE,01-1200-043-650-S/M-Petite,TATUM skirt,False,True,5,needs_review,high_confidence_but_first_run_requires_human_approval,exclude_from_taste_lab_until_AR_or_media_fix
ar_export,sent_to_review,GTF-TOD-001210003690XSSSTANDART,00-1210-003-690-XS/S-Standart,BALI pants,True,True,4,needs_review,high_confidence_but_first_run_requires_human_approval,exclude_from_taste_lab_until_AR_or_media_fix
ar_export,sent_to_review,GTF-TOD-031200072070XSS,03-1200-072-070-xs-s-,ISABEL skirt,True,True,4,needs_review,high_confidence_but_first_run_requires_human_approval,exclude_from_taste_lab_until_AR_or_media_fix
ar_export,sent_to_review,GTF-TOD-031200072510XSS,03-1200-072-510-xs-s-,ISABEL skirt,False,False,4,needs_review,high_confidence_but_first_run_requires_human_approval,exclude_from_taste_lab_until_AR_or_media_fix
ar_export,sent_to_review,GTF-TOD-001210003040XSSSTANDART,00-1210-003-040-XS/S-Standart,BALI pants,False,False,1,needs_review,high_confidence_but_first_run_requires_human_approval,exclude_from_taste_lab_until_AR_or_media_fix
missing_from_ar_export,not_reviewed_zero_image_blocker,GTF-TOD-001050012690ML,00-1050-012-690-M/L-,BALI cardigan,False,False,0,blocked,no_image_candidates_for_product,missing_media_ticket_for_Suman_Muskaan
missing_from_ar_export,not_reviewed_zero_image_blocker,GTF-TOD-011051033030ONESIZEPETITE,01-1051-033-030-One Size-Petite,TATUM cardigan,False,False,0,blocked,no_image_candidates_for_product,missing_media_ticket_for_Suman_Muskaan
missing_from_ar_export,not_reviewed_zero_image_blocker,GTF-TOD-011200043030SMPETITE,01-1200-043-030-S/M-Petite,TATUM skirt,False,False,0,blocked,no_image_candidates_for_product,missing_media_ticket_for_Suman_Muskaan
missing_from_ar_export,not_reviewed_zero_image_blocker,GTF-TOD-031070045070XSS,03-1070-045-070-xs-s-,VALERA top,False,False,0,blocked,no_image_candidates_for_product,missing_media_ticket_for_Suman_Muskaan
missing_from_ar_export,not_reviewed_zero_image_blocker,GTF-TOD-021051040070ONESIZE1PETITE,02-1051-040-070-one-size-1-petite,VALERA cardigan,False,False,0,blocked,no_image_candidates_for_product,missing_media_ticket_for_Suman_Muskaan
